漢字,読み仮名,答え,レベル,部首,タグ
症状,,しょうじょう,Level3,Unset,Unset
吟醸酒,,ぎんじょうしゅ,Level3,Unset,Unset
疎外,,そがい,Level3,Unset,Unset
懲戒,,ちょうかい,Level3,Unset,Unset
散逸,,さんいつ,Level3,Unset,Unset
喪中,,もちゅう,Level3,Unset,Unset
据える,,すえる,Level3,Unset,Unset
面影,,おもかげ,Level3,Unset,Unset
賜る,,たまわる,Level3,Unset,Unset
蚊柱,,かばしら,Level3,Unset,Unset
飢え,,うえ,Level3,Unset,Unset
併せる,,あわせる,Level3,Unset,Unset
毛嫌い,,けぎらい,Level3,Unset,Unset
堪えない,,たえない,Level3,Unset,Unset
順風満帆,,じゅんぷうまんぱん,Level3,Unset,Unset
朝三暮四,,ちょうさんぼし,Level3,Unset,Unset
巧遅拙速,,こうちせっそく,Level3,Unset,Unset
危機一髪,,ききいっぱつ,Level3,Unset,Unset
情状酌量,,じょうじょうしゃくりょう,Level3,Unset,Unset
懐柔,,かいじゅう,Level3,Unset,Unset
紛糾,,ふんきゅう,Level3,Unset,Unset
鈍る,,にぶる,Level3,Unset,Unset
妨げる,,さまたげる,Level3,Unset,Unset
抱える,,かかえる,Level3,Unset,Unset
魅了,,みりょう,Level3,Unset,Unset
概念,,がいねん,Level3,Unset,Unset
洞察力,,どうさつりょく,Level3,Unset,Unset
余裕,,よゆう,Level3,Unset,Unset
甲殻類,,こうかくるい,Level3,Unset,Unset
献立,,こんだて,Level3,Unset,Unset
稼ぐ,,かせぐ,Level3,Unset,Unset
挟む,,はさむ,Level3,Unset,Unset
人柄,,ひとがら,Level3,Unset,Unset
鮮やか,,あざやか,Level3,Unset,Unset
棟上げ,,むねあげ,Level3,Unset,Unset
吉凶,,きっきょう,Level2,Unset,Unset
宴席,,えんせき,Level2,Unset,Unset
穏和,,おんわ,Level2,Unset,Unset
慈悲,,じひ,Level2,Unset,Unset
香炉,,こうろ,Level2,Unset,Unset
習癖,,しゅうへき,Level2,Unset,Unset
塗布,,とふ,Level2,Unset,Unset
奪回,,だっかい,Level2,Unset,Unset
付随,,ふずい,Level2,Unset,Unset
怠慢,,たいまん,Level2,Unset,Unset
弧,,こ,Level2,Unset,Unset
廊下,,ろうか,Level2,Unset,Unset
陳腐,,ちんぷ,Level2,Unset,Unset
停滞,,ていたい,Level2,Unset,Unset
粗末,,そまつ,Level2,Unset,Unset
精巧,,せいこう,Level2,Unset,Unset
鍛錬,,たんれん,Level2,Unset,Unset
強情,,ごうじょう,Level2,Unset,Unset
円滑,,えんかつ,Level2,Unset,Unset
変換,,へんかん,Level2,Unset,Unset
聴く,,きく,Level2,Unset,Unset
揚げる,,あげる,Level2,Unset,Unset
綱渡り,,つなわたり,Level2,Unset,Unset
粘る,,ねばる,Level2,Unset,Unset
架かる,,かかる,Level2,Unset,Unset
隔たり,,へだたり,Level2,Unset,Unset
凍える,,こごえる,Level2,Unset,Unset
著しく,,いちじるしく,Level2,Unset,Unset
慰め,,なぐさめ,Level2,Unset,Unset
氷塊,,ひょうかい,Level2,Unset,Unset
抑圧,,よくあつ,Level2,Unset,Unset
養蚕,,ようさん,Level2,Unset,Unset
朗詠,,ろうえい,Level2,Unset,Unset
埋没,,まいぼつ,Level2,Unset,Unset
合掌,,がっしょう,Level2,Unset,Unset
緩急,,かんきゅう,Level2,Unset,Unset
幼い,,おさない,Level2,Unset,Unset
殴る,,なぐる,Level2,Unset,Unset
蒸れる,,むれる,Level2,Unset,Unset
漏らす,,もらす,Level2,Unset,Unset
雲散霧消,,うんさんむしょう,Level2,Unset,Unset
前人未踏,,ぜんじんみとう,Level2,Unset,Unset
自暴自棄,,じぼうじき,Level2,Unset,Unset
感慨無量,,かんがいむりょう,Level2,Unset,Unset
容姿端麗,,ようしたんれい,Level2,Unset,Unset
因果応報,,いんがおうほう,Level2,Unset,Unset
絢爛,,けんらん,Level4,Unset,Unset
黄昏,,たそがれ,Level4,Unset,Unset
瓦斯,,がす,Level4,Unset,Unset
穿鑿,,せんさく,Level4,Unset,Unset
凋落,,ちょうらく,Level4,Unset,Unset
雷霆,,らいてい,Level4,Unset,Unset
矜持,,きょうじ,Level4,Unset,Unset
窈窕,,ようちょう,Level4,Unset,Unset
復習う,,さらう,Level4,Unset,Unset
青椒肉絲,,ちんじゃおろーす、ちんじゃおろーすー,Level4,Unset,Unset
苛まれる,,さいなまれる,Level4,Unset,Unset
総総,,ふさふさ,Level4,Unset,Unset
逼迫,,ひっぱく,Level4,Unset,Unset
愛猫,,あいびょう,Level4,Unset,Unset
出納,,すいとう,Level4,Unset,Unset
相殺,,そうさい,Level4,Unset,Unset
暫時,,ざんじ,Level4,Unset,Unset
齟齬,,そご,Level4,Unset,Unset
辟易,,へきえき,Level4,Unset,Unset
所謂,,いわゆる,Level4,Unset,Unset
婉曲,,わんきょく,Level4,Unset,Unset
囲炉裏,,いろり,Level4,Unset,Unset
凡そ,,およそ、おおよそ,Level4,Unset,Unset
甚だ,,はなはだ,Level4,Unset,Unset
殆ど,,ほとんど,Level4,Unset,Unset
忽ち,,たちまち,Level4,Unset,Unset
牛蒡,,ごぼう,Level4,Unset,Unset
玉蜀黍,,とうもろこし,Level4,Unset,Unset
