漢字,読み仮名,答え,レベル,部首,タグ
矛盾,,むじゅん,Level2,Unset,Unset
召喚,,しょうかん,Level2,Unset,Unset
床の間,,とこのま,Level2,Unset,Unset
沼,,ぬま,Level2,Unset,Unset
称える,,たたえる,Level2,Unset,Unset
詳細,,しょうさい,Level2,Unset,Unset
大丈夫,,だいじょうぶ,Level2,Unset,Unset
娘婿,,むすめむこ,Level2,Unset,Unset
畳,,たたみ,Level2,Unset,Unset
繁殖,,はんしょく,Level2,Unset,Unset
電飾,,でんしょく,Level2,Unset,Unset
抵触,,ていしょく,Level2,Unset,Unset
侵略,,しんりゃく,Level2,Unset,Unset
振動,,しんどう,Level2,Unset,Unset
お浸し,,おひたし,Level2,Unset,Unset
昼寝,,ひるね,Level2,Unset,Unset
慎重,,しんちょう,Level2,Unset,Unset
地震,,じしん,Level2,Unset,Unset
薪,,まき、たきぎ,Level2,Unset,Unset
尽力,,じんりょく,Level2,Unset,Unset
出陣,,しゅつじん,Level2,Unset,Unset
尋問,,じんもん,Level2,Unset,Unset
吹奏楽,,すいそうがく,Level2,Unset,Unset
是非,,ぜひ,Level2,Unset,Unset
井戸,,いど,Level2,Unset,Unset
百姓,,ひゃくしょう,Level2,Unset,Unset
遠征,,えんせい,Level2,Unset,Unset
痕跡,,こんせき,Level2,Unset,Unset
占領,,せんりょう,Level2,Unset,Unset
占う,,うらなう,Level2,Unset,Unset
扇子,,せんす,Level2,Unset,Unset
鮮明,,せんめい,Level2,Unset,Unset
訴える,,うったえる,Level2,Unset,Unset
僧侶,,そうりょ,Level2,Unset,Unset
乾燥,,かんそう,Level2,Unset,Unset
物騒,,ぶっそう,Level2,Unset,Unset
手繰る,,たぐる,Level2,Unset,Unset
寄贈,,きぞう、きそう,Level2,Unset,Unset
即日,,そくじつ,Level2,Unset,Unset
俗物,,ぞくぶつ,Level2,Unset,Unset
忍耐,,にんたい,Level2,Unset,Unset
代替,,だいたい,Level2,Unset,Unset
贅沢,,ぜいたく,Level2,Unset,Unset
開拓,,かいたく,Level2,Unset,Unset
濁点,,だくてん,Level2,Unset,Unset
脱ぐ,,ぬぐ,Level2,Unset,Unset
丹念,,たんねん,Level2,Unset,Unset
淡い,,あわい,Level2,Unset,Unset
驚嘆,,きょうたん,Level2,Unset,Unset
末端,,まったん,Level2,Unset,Unset
弾丸,,だんがん,Level2,Unset,Unset
無恥,,むち,Level2,Unset,Unset
合致,,がっち,Level2,Unset,Unset
遅刻,,ちこく,Level2,Unset,Unset
貯蓄,,ちょちく,Level2,Unset,Unset
沖縄県,,おきなわけん,Level2,Unset,Unset
跳躍,,ちょうやく,Level2,Unset,Unset
徴兵,,ちょうへい,Level2,Unset,Unset
清澄,,せいちょう,Level2,Unset,Unset
沈没,,ちんぼつ,Level2,Unset,Unset
珍しい,,めずらしい,Level2,Unset,Unset
抵抗,,ていこう,Level2,Unset,Unset
防波堤,,ぼうはてい,Level2,Unset,Unset
摘む,,つむ,Level2,Unset,Unset
滴る,,したたる,Level2,Unset,Unset
添付,,てんぷ,Level2,Unset,Unset
宮殿,,きゅうでん,Level2,Unset,Unset
嘔吐,,おうと,Level2,Unset,Unset
発展途上国,,はってんとじょうこく,Level2,Unset,Unset
売国奴,,ばいこくど,Level2,Unset,Unset
激怒,,げきど,Level2,Unset,Unset
到着,,とうちゃく,Level2,Unset,Unset
逃れる,,のがれる,Level2,Unset,Unset
倒壊,,とうかい,Level2,Unset,Unset
桃,,もも,Level2,Unset,Unset
窃盗,,せっとう,Level2,Unset,Unset
鉄塔,,てっとう,Level2,Unset,Unset
稲穂,,いなほ,Level2,Unset,Unset
踏襲,,とうしゅう,Level2,Unset,Unset
闘う,,たたかう,Level2,Unset,Unset
胴体,,どうたい,Level2,Unset,Unset
峠道,,とうげみち,Level2,Unset,Unset
突如,,とつじょ,Level2,Unset,Unset
鈍行,,どんこう,Level2,Unset,Unset
曇り,,くもり,Level2,Unset,Unset
悩み,,なやみ,Level2,Unset,Unset
濃厚,,のうこう,Level2,Unset,Unset
乾杯,,かんぱい,Level2,Unset,Unset
拍車,,はくしゃ,Level2,Unset,Unset
外泊,,がいはく,Level2,Unset,Unset
脅迫,,きょうはく,Level2,Unset,Unset
薄れる,,うすれる,Level2,Unset,Unset
爆発,,ばくはつ,Level2,Unset,Unset
白髪,,はくはつ,Level2,Unset,Unset
抜歯,,ばっし,Level2,Unset,Unset
懲罰,,ちょうばつ,Level2,Unset,Unset
一般的,,いっぱんてき,Level2,Unset,Unset
救急搬送,,きゅうきゅうはんそう,Level2,Unset,Unset
模範解答,,もはんかいとう,Level2,Unset,Unset
繁盛,,はんじょう,Level2,Unset,Unset
挨拶,,あいさつ,Level3,Unset,Unset
曖昧模糊,,あいまいもこ,Level3,Unset,Unset
宵闇,,よいやみ,Level3,Unset,Unset
宛名,,あてな,Level3,Unset,Unset
宛ら,,さながら,Level3,Unset,Unset
畏縮,,いしゅく,Level3,Unset,Unset
椅子,,いす,Level3,Unset,Unset
語彙力,,ごいりょく,Level3,Unset,Unset
茨城県,,いばらきけん,Level3,Unset,Unset
咽喉,,いんこう,Level3,Unset,Unset
淫ら,,みだら,Level3,Unset,Unset
唄う,,うたう,Level3,Unset,Unset
私怨,,しえん,Level3,Unset,Unset
愛媛県,,えひめけん,Level3,Unset,Unset
妖艶,,ようえん,Level3,Unset,Unset
好奇心旺盛,,こうきしんおうせい,Level3,Unset,Unset
臆する,,おくする,Level3,Unset,Unset
俺,,おれ,Level3,Unset,Unset
苛め,,いじめ,Level3,Unset,Unset
嵐,,あらし,Level3,Unset,Unset
象牙,,ぞうげ,Level3,Unset,Unset
楷書体,,かいしょたい,Level3,Unset,Unset
潰滅,,かいめつ,Level3,Unset,Unset
俳諧,,はいかい,Level3,Unset,Unset
断崖絶壁,,だんがいぜっぺき,Level3,Unset,Unset
頭蓋骨,,ずがいこつ,Level3,Unset,Unset
死骸,,しがい,Level3,Unset,Unset
干し柿,,ほしがき,Level3,Unset,Unset
上顎,,うわあご,Level3,Unset,Unset
葛藤,,かっとう,Level3,Unset,Unset
釜,,かま,Level3,Unset,Unset
愛玩動物,,あいがんどうぶつ,Level3,Unset,Unset
歌舞伎,,かぶき,Level3,Unset,Unset
亀裂,,きれつ,Level3,Unset,Unset
毀損,,きそん,Level3,Unset,Unset
近畿,,きんき,Level3,Unset,Unset
脱臼,,だっきゅう,Level3,Unset,Unset
嗅ぐ,,かぐ,Level3,Unset,Unset
裾野,,すその,Level3,Unset,Unset
頬張る,,ほおばる,Level3,Unset,Unset
雑巾,,ぞうきん,Level3,Unset,Unset
僅か,,わずか,Level3,Unset,Unset
錦鯉,,にしきごい,Level3,Unset,Unset
危惧,,きぐ,Level3,Unset,Unset
串刺し,,くしざし,Level3,Unset,Unset
洞窟,,どうくつ,Level3,Unset,Unset
造詣,,ぞうけい,Level3,Unset,Unset
憧憬,,しょうけい、どうけい,Level3,Unset,Unset
滑稽,,こっけい,Level3,Unset,Unset
間隙,,かんげき,Level3,Unset,Unset
桁違い,,けたちがい,Level3,Unset,Unset
拳骨,,げんこつ,Level3,Unset,Unset
合鍵,,あいかぎ,Level3,Unset,Unset
右舷,,うげん,Level3,Unset,Unset
内股,,うちまた,Level3,Unset,Unset
白虎,,びゃっこ,Level3,Unset,Unset
禁錮,,きんこ,Level3,Unset,Unset
帳尻合わせ,,ちょうじりあわせ,Level3,Unset,Unset
勾配,,こうばい,Level3,Unset,Unset
脳梗塞,,のうこうそく,Level3,Unset,Unset
喉仏,,のどぼとけ,Level3,Unset,Unset
彩虹,,さいこう,Level3,Unset,Unset
乞う,,こう,Level3,Unset,Unset
傲慢,,ごうまん,Level3,Unset,Unset
捨て駒,,すてごま,Level3,Unset,Unset
頃合い,,ころあい,Level3,Unset,Unset
弾痕,,だんこん,Level3,Unset,Unset
音沙汰,,おとさた,Level3,Unset,Unset
挫傷,,ざしょう,Level3,Unset,Unset
拍手喝采,,はくしゅかっさい,Level3,Unset,Unset
要塞,,ようさい,Level3,Unset,Unset
柵,,さく、しがらみ,Level3,Unset,Unset
羅刹,,らせつ,Level3,Unset,Unset
斬殺,,ざんさつ,Level3,Unset,Unset
恣意的,,しいてき,Level3,Unset,Unset
真摯,,しんし,Level3,Unset,Unset
薬餌,,やくじ,Level3,Unset,Unset
鹿苑寺,,ろくおんじ,Level3,Unset,Unset
叱咤激励,,しったげきれい,Level3,Unset,Unset
膝,,ひざ,Level3,Unset,Unset
嫉妬,,しっと,Level3,Unset,Unset
妬む,,ねたむ,Level3,Unset,Unset
腫瘍,,しゅよう,Level3,Unset,Unset
呪縛,,じゅばく,Level3,Unset,Unset
呪う,,のろう、まじなう,Level3,Unset,Unset
鎧袖,,がいしゅう,Level3,Unset,Unset
羞恥心,,しゅうちしん,Level3,Unset,Unset
一蹴,,いっしゅう,Level3,Unset,Unset
憧れる,,あこがれる,Level3,Unset,Unset
払拭,,ふっしょく、ふっしき,Level3,Unset,Unset
必須,,ひっす,Level3,Unset,Unset
芯,,しん,Level3,Unset,Unset
腎臓,,じんぞう,Level3,Unset,Unset
凄絶,,せいぜつ,Level3,Unset,Unset
凄い,,すごい,Level3,Unset,Unset
覚醒,,かくせい,Level3,Unset,Unset
醒める,,さめる,Level3,Unset,Unset
脊髄,,せきずい,Level3,Unset,Unset
親戚,,しんせき,Level3,Unset,Unset
焙煎,,ばいせん,Level3,Unset,Unset
羨望,,せんぼう,Level3,Unset,Unset
羨む,,うらやむ,Level3,Unset,Unset
涙腺,,るいせん,Level3,Unset,Unset
詮索,,せんさく,Level3,Unset,Unset
処方箋,,しょほうせん,Level3,Unset,Unset
お膳立て,,おぜんだて,Level3,Unset,Unset
狙撃手,,そげきしゅ,Level3,Unset,Unset
遡上,,そじょう,Level3,Unset,Unset
遡る,,さかのぼる,Level3,Unset,Unset
曾祖父,,そうそふ,Level3,Unset,Unset
爽やか,,さわやか,Level3,Unset,Unset
満身創痍,,まんしんそうい,Level3,Unset,Unset
失踪,,しっそう,Level3,Unset,Unset
捉える,,とらえる,Level3,Unset,Unset
謙遜,,けんそん,Level3,Unset,Unset
唾液,,だえき,Level3,Unset,Unset
堆積,,たいせき,Level3,Unset,Unset
誰何,,すいか,Level3,Unset,Unset
旦那,,だんな,Level3,Unset,Unset
綻びる,,ほころびる,Level3,Unset,Unset
焼酎,,しょうちゅう,Level3,Unset,Unset
肘,,ひじ,Level3,Unset,Unset
進捗,,しんちょく,Level3,Unset,Unset
頸椎,,けいつい,Level3,Unset,Unset
千羽鶴,,せんばづる,Level3,Unset,Unset
諦める,,あきらめる,Level3,Unset,Unset
溺愛,,できあい,Level3,Unset,Unset
装填,,そうてん,Level3,Unset,Unset
填める,,はめる、うずめる,Level3,Unset,Unset
賭博,,とばく,Level3,Unset,Unset
瞳孔,,どうこう,Level3,Unset,Unset
頓着,,とんちゃく,Level3,Unset,Unset
貪る,,むさぼる,Level3,Unset,Unset
丼,,どん、どんぶり,Level3,Unset,Unset
奈落,,ならく,Level3,Unset,Unset
捻る,,ひねる,Level3,Unset,Unset
罵詈雑言,,ばりぞうごん,Level3,Unset,Unset
剥奪,,はくだつ,Level3,Unset,Unset
菜箸,,さいばし,Level3,Unset,Unset
氾濫,,はんらん,Level3,Unset,Unset
汎用的,,はんようてき,Level3,Unset,Unset
斑紋,,はんもん,Level3,Unset,Unset
愁眉,,しゅうび,Level3,Unset,Unset
訃報,,ふほう,Level3,Unset,Unset
遮蔽,,しゃへい,Level3,Unset,Unset
煎餅,,せんべい,Level3,Unset,Unset
双璧,,そうへき,Level3,Unset,Unset
哺乳類,,ほにゅうるい,Level3,Unset,Unset
養蜂場,,ようほうじょう,Level3,Unset,Unset
変貌,,へんぼう,Level3,Unset,Unset
親睦,,しんぼく,Level3,Unset,Unset
勃興,,ぼっこう,Level3,Unset,Unset
腕枕,,うでまくら,Level3,Unset,Unset
蜜月,,みつげつ,Level3,Unset,Unset
拉麺,,らーめん,Level3,Unset,Unset
陶冶,,とうや,Level3,Unset,Unset
弥生時代,,やよいじだい,Level3,Unset,Unset
比喩,,ひゆ,Level3,Unset,Unset
湧出,,ゆうしゅつ,Level3,Unset,Unset
妖しい,,あやしい,Level3,Unset,Unset
胃潰瘍,,いかいよう,Level3,Unset,Unset
肥沃,,ひよく,Level3,Unset,Unset
悪辣,,あくらつ,Level3,Unset,Unset
藍色,,あいいろ,Level3,Unset,Unset
人形浄瑠璃,,にんぎょうじょうるり,Level3,Unset,Unset
戦慄,,せんりつ,Level3,Unset,Unset
慄く,,おののく,Level3,Unset,Unset
一目瞭然,,いちもくりょうぜん,Level3,Unset,Unset
賄賂,,わいろ,Level3,Unset,Unset
翻弄,,ほんろう,Level3,Unset,Unset
弄ぶ,,もてあそぶ,Level3,Unset,Unset
籠城,,ろうじょう,Level3,Unset,Unset
籠る,,こもる,Level3,Unset,Unset
麓,,ふもと,Level3,Unset,Unset
脇道,,わきみち,Level3,Unset,Unset
絢爛,,けんらん,Level4,Unset,Unset
黄昏,,たそがれ,Level4,Unset,Unset
瓦斯,,がす,Level4,Unset,Unset
穿鑿,,せんさく,Level4,Unset,Unset
凋落,,ちょうらく,Level4,Unset,Unset
雷霆,,らいてい,Level4,Unset,Unset
矜持,,きょうじ,Level4,Unset,Unset
窈窕,,ようちょう,Level4,Unset,Unset
復習う,,さらう,Level4,Unset,Unset
青椒肉絲,,ちんじゃおろーす、ちんじゃおろーすー,Level4,Unset,Unset
苛まれる,,さいなまれる,Level4,Unset,Unset
総総,,ふさふさ,Level4,Unset,Unset
逼迫,,ひっぱく,Level4,Unset,Unset
愛猫,,あいびょう,Level4,Unset,Unset
出納,,すいとう,Level4,Unset,Unset
相殺,,そうさい,Level4,Unset,Unset
暫時,,ざんじ,Level4,Unset,Unset
齟齬,,そご,Level4,Unset,Unset
辟易,,へきえき,Level4,Unset,Unset
所謂,,いわゆる,Level4,Unset,Unset
婉曲,,えんきょく,Level4,Unset,Unset
囲炉裏,,いろり,Level4,Unset,Unset
凡そ,,およそ、おおよそ,Level4,Unset,Unset
甚だ,,はなはだ,Level4,Unset,Unset
殆ど,,ほとんど,Level4,Unset,Unset
忽ち,,たちまち,Level4,Unset,Unset
牛蒡,,ごぼう,Level4,Unset,Unset
紐帯,,ちゅうたい、じゅうたい,Level4,Unset,Unset
杏林,,きょうりん,Level4,Unset,Unset
錫杖,,しゃくじょう,Level4,Unset,Unset
禰宜,,ねぎ,Level4,Unset,Unset
欽慕,,きんぼ,Level4,Unset,Unset
櫛比,,しっぴ,Level4,Unset,Unset
慧眼,,けいがん,Level4,Unset,Unset
俗諺,,ぞくげん,Level4,Unset,Unset
椿事,,ちんじ,Level4,Unset,Unset
汀渚,,ていしょ,Level4,Unset,Unset
彼此,,ひし,Level4,Unset,Unset
膝下,,しっか,Level4,Unset,Unset
枕頭,,ちんとう,Level4,Unset,Unset
尤物,,ゆうぶつ,Level4,Unset,Unset
壺中,,こちゅう,Level4,Unset,Unset
長身瘦躯,,ちょうしんそうく,Level4,Unset,Unset
郁郁,,いくいく,Level4,Unset,Unset
厩舎,,きゅうしゃ,Level4,Unset,Unset
一瞥,,いちべつ,Level4,Unset,Unset
艶冶,,えんや,Level4,Unset,Unset
甥姪,,せいてつ,Level4,Unset,Unset
一揖,,いちゆう,Level4,Unset,Unset
禾穀,,かこく,Level4,Unset,Unset
快哉,,かいさい,Level4,Unset,Unset
赫灼,,かくしゃく,Level4,Unset,Unset
茅屋,,ぼうおく,Level4,Unset,Unset
御萱堂,,ごけんどう,Level4,Unset,Unset
澱,,おり、よど,Level4,Unset,Unset
苛む,,さいなむ,Level4,Unset,Unset
饗す,,もてなす,Level4,Unset,Unset
鴫,,しぎ,Level4,Unset,Unset
栂,,とが、つが,Level4,Unset,Unset
鐙,,あぶみ,Level4,Unset,Unset
矧ぐ,,はぐ,Level4,Unset,Unset
硲,,はざま,Level4,Unset,Unset
籾,,もみ,Level4,Unset,Unset
堆い,,うずたかい,Level4,Unset,Unset
嘉する,,よみする,Level4,Unset,Unset
魁,,さきがけ,Level4,Unset,Unset
廓,,くるわ,Level4,Unset,Unset
樫,,かし,Level4,Unset,Unset
椛,,もみじ,Level4,Unset,Unset
甑,,こしき,Level4,Unset,Unset
徽章,,きしょう,Level4,Unset,Unset
弓箭,,きゅうせん,Level4,Unset,Unset
熊掌,,ゆうしょう,Level4,Unset,Unset
夙夜,,しゅくや,Level4,Unset,Unset
後胤,,こういん,Level4,Unset,Unset
嚇怒,,かくど,Level4,Unset,Unset
口吻,,こうふん,Level4,Unset,Unset
弘誓,,ぐぜい,Level4,Unset,Unset
斯界,,しかい,Level4,Unset,Unset
象箸,,ぞうちょ,Level4,Unset,Unset
廠舎,,しょうしゃ,Level4,Unset,Unset
翠黛,,すいたい,Level4,Unset,Unset
曽遊,,そうゆう,Level4,Unset,Unset
豊頬,,ほうきょう,Level4,Unset,Unset
爪牙,,そうが,Level4,Unset,Unset
都邑,,とゆう,Level4,Unset,Unset
芝蘭,,しらん,Level4,Unset,Unset
禿筆,,とくひつ,Level4,Unset,Unset
這般,,しゃはん,Level4,Unset,Unset
稗史,,はいし,Level4,Unset,Unset
謬見,,びゅうけん,Level4,Unset,Unset
頁岩,,けつがん,Level4,Unset,Unset
補綴,,ほてい、ほてつ,Level4,Unset,Unset
戎馬,,じゅうば,Level4,Unset,Unset
輔弼,,ほひつ,Level4,Unset,Unset
蓑笠,,さりゅう,Level4,Unset,Unset
忽せ,,ゆるがせ,Level4,Unset,Unset
艮,,うしとら,Level4,Unset,Unset
蔀,,しとみ,Level4,Unset,Unset
椙,,すぎ,Level4,Unset,Unset
辿る,,たどる,Level4,Unset,Unset
頗る,,すこぶる,Level4,Unset,Unset
擢んでた,,ぬきんでた,Level4,Unset,Unset
誹る,,そしる,Level4,Unset,Unset
尤める,,とがめる,Level4,Unset,Unset
鑓,,やり,Level4,Unset,Unset
掠める,,かすめる,Level4,Unset,Unset
歪,,いびつ,Level4,Unset,Unset
靱やか,,しなやか,Level4,Unset,Unset
八重葎,,やえむぐら,Level4,Unset,Unset
咽ぶ,,むせぶ,Level4,Unset,Unset
戚む,,いたむ,Level4,Unset,Unset
遜る,,へりくだる,Level4,Unset,Unset
設える,,しつらえる,Level4,Unset,Unset
具に,,つぶさに,Level4,Unset,Unset
偏に,,ひとえに,Level4,Unset,Unset
詰る,,なじる,Level4,Unset,Unset
与する,,くみする,Level4,Unset,Unset
慮る,,おもんぱかる,Level4,Unset,Unset
恣に,,ほしいままに,Level4,Unset,Unset
労う,,ねぎらう,Level4,Unset,Unset
予て,,かねて,Level4,Unset,Unset
括る,,くくる,Level4,Unset,Unset
頑な,,かたくな,Level4,Unset,Unset
購う,,あがなう,Level4,Unset,Unset
肖る,,かたどる,Level4,Unset,Unset
屯する,,たむろする,Level4,Unset,Unset
閲する,,けみする,Level4,Unset,Unset
凝り,,こり、しこり,Level4,Unset,Unset
邪,,よこしま,Level4,Unset,Unset
辱い,,かたじけない,Level4,Unset,Unset
何某,,なにがし,Level4,Unset,Unset
扱く,,しごく,Level4,Unset,Unset
熟す,,こなす,Level4,Unset,Unset
垂と,,なんなんと,Level4,Unset,Unset
態と,,わざと,Level4,Unset,Unset
集く,,すだく,Level4,Unset,Unset
強か,,したたか,Level4,Unset,Unset
番える,,つがえる,Level4,Unset,Unset
因む,,ちなむ,Level4,Unset,Unset
憾み,,うらみ,Level4,Unset,Unset
殉う,,したがう,Level4,Unset,Unset
剰え,,あまつさえ,Level4,Unset,Unset
泥む,,なずむ,Level4,Unset,Unset
概ね,,おおむね,Level4,Unset,Unset
徐に,,おもむろに,Level4,Unset,Unset
掌る,,つかさどる,Level4,Unset,Unset
託ける,,かこつける、ことづける,Level4,Unset,Unset
諾う,,うべなう,Level4,Unset,Unset
零す,,こぼす,Level4,Unset,Unset
相見える,,あいまみえる,Level4,Unset,Unset
与る,,あずかる,Level4,Unset,Unset
革める,,あらためる,Level4,Unset,Unset
勤しむ,,いそしむ,Level4,Unset,Unset
鮎魚女,,あいなめ,Level4,Unset,Fish
鰺,,あじ,Level3,Unset,Fish
穴子,,あなご,Level3,Unset,Fish
鮎,,あゆ,Level4,Unset,Fish
鮟鱇,,あんこう,Level4,Unset,Fish
鰯,,いわし,Level3,Unset,Fish
岩魚,,いわな,Level3,Unset,Fish
鰻,,うなぎ,Level3,Unset,Fish
海鷂魚,,えい,Level5,Unset,Fish
追河,,おいかわ,Level3,Unset,Fish
虎魚,,おこぜ,Level4,Unset,Fish
鰍,,かじか、いなだ、どじょう,Level4,Unset,Fish
鰹,,かつお,Level3,Unset,Fish
梭魚,,かます,Level4,Unset,Fish
鰈,,かれい,Level4,Unset,Fish
皮剥,,かわはぎ,Level3,Unset,Fish
鱚,,きす,Level3,Unset,Fish
鯉,,こい,Level3,Unset,Fish
鯒,,こち,Level4,Unset,Fish
鮴,,ごり,Level4,Unset,Fish
鮭,,さけ,Level3,Unset,Fish
鯖,,さば,Level3,Unset,Fish
